dataset_id,model,m_minority,across_seed_sd,across_seed_iqr,across_seed_mean
openml_1486_nomao,tabpfn,50,0.11651437631964864,0.1538998782634735,0.27810917496681214
openml_1486_nomao,tabpfn,100,0.09296868319749237,0.12036377191543579,0.2569439232349396
openml_1489_phoneme,tabpfn,10,0.19547723644085008,0.29530980810523033,0.7362635988974944
openml_1489_phoneme,tabpfn,20,0.16981413118732017,0.20583807304501534,0.6963496662676334
openml_1489_phoneme,tabpfn,50,0.149494037104055,0.20620034262537956,0.6722915098071098
openml_1489_phoneme,tabpfn,100,0.1279459361503822,0.18827969580888748,0.6502710103988647
openml_1590_adult,tabpfn,10,0.0778804480097592,0.09293052926659584,0.8852924673832604
openml_1590_adult,tabpfn,20,0.06263683078863079,0.06699622794985771,0.8624615054577589
openml_1590_adult,tabpfn,50,0.06038896959685256,0.05480014160275459,0.8314534474164248
openml_1590_adult,tabpfn,100,0.033128040110425326,0.05996286869049072,0.8476656280457974
openml_4534_phishingwebsite,tabpfn,10,0.36757965990713637,0.5371671766042709,0.31085610087029636
openml_4534_phishingwebsite,tabpfn,20,0.19858239151067827,0.18158577382564545,0.1906053304672241
openml_4534_phishingwebsite,tabpfn,50,0.1345924489312943,0.05470965802669525,0.13132795691490173
openml_4534_phishingwebsite,tabpfn,100,0.050685168408882146,0.08244962990283966,0.08732261657714843
openml_23512_higgs,tabpfn,10,0.15831204506002763,0.22605044022202492,0.7253404388204217
openml_23512_higgs,tabpfn,20,0.09264347686035375,0.16254927217960358,0.7528552033007145
openml_23512_higgs,tabpfn,50,0.07023720454815366,0.09844646230340004,0.7493082597851753
openml_23512_higgs,tabpfn,100,0.02999530793301008,0.042069755494594574,0.7402896180748939
openml_23517_numerai28_6,tabpfn,10,0.012415268111735489,0.01144707202911377,0.5387086123228073
openml_23517_numerai28_6,tabpfn,20,0.006848137461011141,0.009718269109725952,0.5393877685070038
openml_23517_numerai28_6,tabpfn,50,0.005740851355660567,0.003928378224372864,0.5384795725345611
openml_23517_numerai28_6,tabpfn,100,0.003401621069358168,0.001946285367012024,0.537165704369545
