dataset_id,model,cp_method,m_minority,threshold_metric,across_seed_sd,across_seed_iqr,across_seed_mean
openml_1486_nomao,xgboost,class_conditional_cp,100,threshold_sum,0.12390510640217654,0.16214235126972198,0.3106716156005859
openml_1486_nomao,tabpfn,global_split_cp,10,q_global,0.020300862737959093,0.016357988119125366,0.050465327501296994
openml_1486_nomao,tabpfn,global_split_cp,20,q_global,0.029019709012500054,0.023077532649040222,0.06341219544410706
openml_1486_nomao,tabpfn,global_split_cp,50,q_global,0.04050092074835104,0.04977332055568695,0.08346587419509888
openml_1486_nomao,tabpfn,global_split_cp,100,q_global,0.03570346041330736,0.06197217106819153,0.09977709650993347
openml_1486_nomao,tabpfn,class_conditional_cp,10,q_minority,0.13262507719075914,0.10243071615695953,0.3087001621723175
openml_1486_nomao,tabpfn,class_conditional_cp,10,q_majority,0.021892565807939572,0.008413836359977722,0.04562041759490967
openml_1486_nomao,tabpfn,class_conditional_cp,10,threshold_sum,0.13550845454064722,0.09536466002464294,0.3543205797672272
openml_1486_nomao,tabpfn,class_conditional_cp,20,q_minority,0.14291991216465705,0.10273389518260956,0.2897163271903992
openml_1486_nomao,tabpfn,class_conditional_cp,20,q_majority,0.021892565807939572,0.008413836359977722,0.04562041759490967
openml_1486_nomao,tabpfn,class_conditional_cp,20,threshold_sum,0.14701108143680014,0.09536466002464294,0.33533674478530884
openml_1486_nomao,tabpfn,class_conditional_cp,50,q_minority,0.11651437631964864,0.1538998782634735,0.27810917496681214
openml_1486_nomao,tabpfn,class_conditional_cp,50,q_majority,0.021892565807939572,0.008413836359977722,0.04562041759490967
openml_1486_nomao,tabpfn,class_conditional_cp,50,threshold_sum,0.13065069909566382,0.1513354480266571,0.3237295925617218
openml_1486_nomao,tabpfn,class_conditional_cp,100,q_minority,0.09296868319749237,0.12036377191543579,0.2569439232349396
openml_1486_nomao,tabpfn,class_conditional_cp,100,q_majority,0.021892565807939572,0.008413836359977722,0.04562041759490967
openml_1486_nomao,tabpfn,class_conditional_cp,100,threshold_sum,0.10150319924335091,0.14604589343070984,0.30256434082984923
openml_1489_phoneme,logistic_regression,global_split_cp,10,q_global,0.03635445753902498,0.04826140720591232,0.5849043497988757
openml_1489_phoneme,logistic_regression,global_split_cp,20,q_global,0.03232315615691379,0.04707128768573288,0.600425790846921
openml_1489_phoneme,logistic_regression,global_split_cp,50,q_global,0.026097381894746856,0.03704128718865085,0.6594489382460678
openml_1489_phoneme,logistic_regression,global_split_cp,100,q_global,0.023434892759119603,0.02896976357994585,0.694973441896878
openml_1489_phoneme,logistic_regression,class_conditional_cp,10,q_minority,0.05289558050750666,0.04590394883242621,0.8438377125815286
openml_1489_phoneme,logistic_regression,class_conditional_cp,10,q_majority,0.03717376087960855,0.046511705340474774,0.5647650787561983
openml_1489_phoneme,logistic_regression,class_conditional_cp,10,threshold_sum,0.05907084342341613,0.04174011565863944,1.4086027913377268
openml_1489_phoneme,logistic_regression,class_conditional_cp,20,q_minority,0.05496733614203443,0.06788521192106134,0.8347186532937332
openml_1489_phoneme,logistic_regression,class_conditional_cp,20,q_majority,0.03717376087960855,0.046511705340474774,0.5647650787561983
openml_1489_phoneme,logistic_regression,class_conditional_cp,20,threshold_sum,0.06291484803059157,0.04818785430229644,1.3994837320499314
openml_1489_phoneme,logistic_regression,class_conditional_cp,50,q_minority,0.0467184895636141,0.08034426759053503,0.8247668286709608
openml_1489_phoneme,logistic_regression,class_conditional_cp,50,q_majority,0.03717376087960855,0.046511705340474774,0.5647650787561983
openml_1489_phoneme,logistic_regression,class_conditional_cp,50,threshold_sum,0.07612028846840338,0.08969096803520138,1.3895319074271593
openml_1489_phoneme,logistic_regression,class_conditional_cp,100,q_minority,0.04858938827738513,0.0803958067855759,0.8180340497996397
openml_1489_phoneme,logistic_regression,class_conditional_cp,100,q_majority,0.03717376087960855,0.046511705340474774,0.5647650787561983
openml_1489_phoneme,logistic_regression,class_conditional_cp,100,threshold_sum,0.07410075449580555,0.0864386509466124,1.3827991285558379
openml_1489_phoneme,xgboost,global_split_cp,10,q_global,0.08893306922486782,0.08226338028907776,0.4318732261657715
openml_1489_phoneme,xgboost,global_split_cp,20,q_global,0.080903962371804,0.09520614147186279,0.4502875506877899
openml_1489_phoneme,xgboost,global_split_cp,50,q_global,0.07389655920752655,0.1201208233833313,0.5148261278867722
openml_1489_phoneme,xgboost,global_split_cp,100,q_global,0.07520300441024697,0.0922628790140152,0.5567607581615448
openml_1489_phoneme,xgboost,class_conditional_cp,10,q_minority,0.1952932107534103,0.24771424941718578,0.7543463196605444
openml_1489_phoneme,xgboost,class_conditional_cp,10,q_majority,0.0822303352198204,0.014690130949020386,0.406559956073761
openml_1489_phoneme,xgboost,class_conditional_cp,10,threshold_sum,0.1668895518720158,0.16536952927708626,1.1609062757343054
openml_1489_phoneme,xgboost,class_conditional_cp,20,q_minority,0.17242429584724592,0.18572541326284409,0.6984991788864136
openml_1489_phoneme,xgboost,class_conditional_cp,20,q_majority,0.0822303352198204,0.014690130949020386,0.406559956073761
openml_1489_phoneme,xgboost,class_conditional_cp,20,threshold_sum,0.1837657645169835,0.1486496850848198,1.1050591349601746
openml_1489_phoneme,xgboost,class_conditional_cp,50,q_minority,0.14244427246834257,0.25095290690660477,0.7165930539369583
openml_1489_phoneme,xgboost,class_conditional_cp,50,q_majority,0.0822303352198204,0.014690130949020386,0.406559956073761
openml_1489_phoneme,xgboost,class_conditional_cp,50,threshold_sum,0.16122119036778315,0.17527535185217857,1.1231530100107192
openml_1489_phoneme,xgboost,class_conditional_cp,100,q_minority,0.10402717790937967,0.1807403415441513,0.7262066185474396
openml_1489_phoneme,xgboost,class_conditional_cp,100,q_majority,0.0822303352198204,0.014690130949020386,0.406559956073761
openml_1489_phoneme,xgboost,class_conditional_cp,100,threshold_sum,0.1196862351566937,0.17482705041766167,1.1327665746212006
openml_1489_phoneme,tabpfn,global_split_cp,10,q_global,0.07299256556395309,0.08233702182769775,0.3133083045482635
openml_1489_phoneme,tabpfn,global_split_cp,20,q_global,0.07757283197862999,0.09098181128501892,0.33395897746086123
openml_1489_phoneme,tabpfn,global_split_cp,50,q_global,0.06537956124783423,0.09193386137485504,0.3881844818592072
openml_1489_phoneme,tabpfn,global_split_cp,100,q_global,0.05479260550323421,0.08125549554824829,0.45007761716842654
openml_1489_phoneme,tabpfn,class_conditional_cp,10,q_minority,0.19547723644085008,0.29530980810523033,0.7362635988974944
openml_1489_phoneme,tabpfn,class_conditional_cp,10,q_majority,0.05872515471325346,0.03147529065608978,0.2813113510608673
openml_1489_phoneme,tabpfn,class_conditional_cp,10,threshold_sum,0.1829938572886442,0.22597647085785866,1.0175749499583617
openml_1489_phoneme,tabpfn,class_conditional_cp,20,q_minority,0.16981413118732017,0.20583807304501534,0.6963496662676334
openml_1489_phoneme,tabpfn,class_conditional_cp,20,q_majority,0.05872515471325346,0.03147529065608978,0.2813113510608673
openml_1489_phoneme,tabpfn,class_conditional_cp,20,threshold_sum,0.1661015007439367,0.15151060745120049,0.9776610173285007
openml_1489_phoneme,tabpfn,class_conditional_cp,50,q_minority,0.149494037104055,0.20620034262537956,0.6722915098071098
openml_1489_phoneme,tabpfn,class_conditional_cp,50,q_majority,0.05872515471325346,0.03147529065608978,0.2813113510608673
openml_1489_phoneme,tabpfn,class_conditional_cp,50,threshold_sum,0.14322993059879724,0.18099534139037132,0.9536028608679772
openml_1489_phoneme,tabpfn,class_conditional_cp,100,q_minority,0.12794593615038222,0.18827969580888748,0.6502710103988647
openml_1489_phoneme,tabpfn,class_conditional_cp,100,q_majority,0.05872515471325346,0.03147529065608978,0.2813113510608673
openml_1489_phoneme,tabpfn,class_conditional_cp,100,threshold_sum,0.12350919463358753,0.15304407477378845,0.9315823614597321
