dataset_id,model,cp_method,m_minority,metric,n,mean,median,sd_ddof1,iqr,q25,q75,min,max,across_seed_boot_ci_low,across_seed_boot_ci_high,uncertainty_type
openml_1486_nomao,xgboost,class_conditional_cp,10,coverage_disparity,10,0.047057230286335,0.037327819628283854,0.041094044332068334,0.03369894308161564,0.022615930761077735,0.056314873842693375,0.0022110585727846965,0.1405093325092962,0.0254194696409291,0.07360995279595713,across_seed_bootstrap_exploratory
openml_1486_nomao,xgboost,class_conditional_cp,10,singleton_rate,10,0.9200928478166256,0.9275351806180183,0.0300048583907439,0.029486435514289866,0.903343972145655,0.9328304076599448,0.8586972290729726,0.9651820687654142,0.9019585086319456,0.9370669519802699,across_seed_bootstrap_exploratory
openml_1486_nomao,xgboost,class_conditional_cp,10,average_set_size,10,0.9200928478166256,0.9275351806180183,0.0300048583907439,0.029486435514289866,0.903343972145655,0.9328304076599448,0.8586972290729726,0.9651820687654142,0.901595821848252,0.9370230668794427,across_seed_bootstrap_exploratory
openml_1486_nomao,xgboost,class_conditional_cp,10,empty_rate,10,0.07990715218337444,0.07246481938198172,0.030004858390743912,0.029486435514289866,0.06716959234005512,0.09665602785434499,0.03481793123458581,0.14130277092702742,0.06302009284781662,0.09854925286522558,across_seed_bootstrap_exploratory
openml_1486_nomao,xgboost,class_conditional_cp,10,doubleton_rate,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,across_seed_bootstrap_exploratory
openml_1486_nomao,xgboost,class_conditional_cp,10,coverage_overall,10,0.9079500942985638,0.9110692006383287,0.02576066976931407,0.02741912084723619,0.8939503844479908,0.921369505295227,0.8550703612360365,0.9492238502828957,0.8927317568547803,0.9223708835050052,across_seed_bootstrap_exploratory
openml_1486_nomao,xgboost,class_conditional_cp,10,auroc,10,0.9954645038304936,0.9956159423130002,0.0006606803952302554,0.000932095737381955,0.9948993621276,0.995831457864982,0.9945500711887216,0.9965996607035369,0.9950782498342505,0.9958495789118007,across_seed_bootstrap_exploratory
openml_1486_nomao,xgboost,class_conditional_cp,10,auprc,10,0.9894200998219438,0.9895815850237699,0.0014622198190801922,0.0020174614570331872,0.9882821815402709,0.9902996429973041,0.9871876426342879,0.9918517030395796,0.9885437922328786,0.9902740731503941,across_seed_bootstrap_exploratory
openml_1486_nomao,xgboost,class_conditional_cp,10,q_minority,10,0.3524241268634796,0.34074485301971436,0.19281120304672106,0.2526828944683075,0.24239473044872284,0.49507762491703033,0.06001389026641846,0.6059258282184601,0.23840560361742974,0.4656501968204975,across_seed_bootstrap_exploratory
openml_1486_nomao,xgboost,class_conditional_cp,10,q_majority,10,0.06207038760185242,0.059108853340148926,0.029299917198071384,0.034374237060546875,0.03944309055805206,0.07381732761859894,0.03339582681655884,0.13024932146072388,0.04675375655293464,0.08034201323986054,across_seed_bootstrap_exploratory
openml_1486_nomao,xgboost,class_conditional_cp,10,threshold_gap,10,0.2903537392616272,0.29070568084716797,0.18859511632814102,0.2462942898273468,0.17982584238052368,0.4261201322078705,0.02661806344985962,0.5615139305591583,0.18036521285772325,0.40144224666059,across_seed_bootstrap_exploratory
openml_1486_nomao,xgboost,class_conditional_cp,10,threshold_sum,10,0.41449451446533203,0.39078402519226074,0.2012490308882267,0.29756084084510803,0.30046263337135315,0.5980234742164612,0.0934097170829773,0.6821178495883942,0.293846619874239,0.5303408555686473,across_seed_bootstrap_exploratory
openml_1486_nomao,xgboost,class_conditional_cp,20,coverage_minority,10,0.8923819197562214,0.9154393092940579,0.07738359765897379,0.04291518537328598,0.8965210766886744,0.9394362620619604,0.7318435754189944,0.9608938547486033,0.842153377348908,0.932352717115287,across_seed_bootstrap_exploratory
openml_1486_nomao,xgboost,class_conditional_cp,20,coverage_majority,10,0.9108448415922015,0.9110479285134037,0.020829806647391324,0.02584281072298944,0.8962225832656378,0.9220653939886272,0.8785540211210398,0.9510560519902518,0.8988825142160844,0.923395613322502,across_seed_bootstrap_exploratory
openml_1486_nomao,xgboost,class_conditional_cp,20,coverage_disparity,10,0.05047484589529254,0.037327819628283854,0.0546432568349011,0.047296355079689795,0.00901851876300358,0.056314873842693375,0.004899149654741919,0.16742531166467745,0.0217526525070353,0.08553992009163974,across_seed_bootstrap_exploratory
openml_1486_nomao,xgboost,class_conditional_cp,20,singleton_rate,10,0.9168431742347309,0.9263745829101988,0.034565675497712986,0.023937327723777657,0.9070433773393298,0.9309807050631075,0.8546351370956042,0.9638763963441173,0.8953576091687221,0.9359059915856666,across_seed_bootstrap_exploratory
openml_1486_nomao,xgboost,class_conditional_cp,20,average_set_size,10,0.9168431742347309,0.9263745829101988,0.034565675497712986,0.023937327723777657,0.9070433773393298,0.9309807050631075,0.8546351370956042,0.9638763963441173,0.8957924706223706,0.9358914841143189,across_seed_bootstrap_exploratory
openml_1486_nomao,xgboost,class_conditional_cp,20,empty_rate,10,0.08315682576526912,0.07362541708980125,0.03456567549771298,0.02393732772377774,0.0690192949368925,0.09295662266067024,0.03612360365588278,0.14536486290439576,0.06393442622950819,0.10419302190628169,across_seed_bootstrap_exploratory
openml_1486_nomao,xgboost,class_conditional_cp,20,doubleton_rate,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,across_seed_bootstrap_exploratory
openml_1486_nomao,xgboost,class_conditional_cp,20,coverage_overall,10,0.9055708689975338,0.9129551719135355,0.030180379713904235,0.023647178296822946,0.8966342666473234,0.9202814449441463,0.8514434933991005,0.9484984767155085,0.8869287683156826,0.9222109386333962,across_seed_bootstrap_exploratory
openml_1486_nomao,xgboost,class_conditional_cp,20,auroc,10,0.9954645038304936,0.9956159423130002,0.0006606803952302554,0.000932095737381955,0.9948993621276,0.995831457864982,0.9945500711887216,0.9965996607035369,0.9950704575726771,0.9958431822926358,across_seed_bootstrap_exploratory
openml_1486_nomao,xgboost,class_conditional_cp,20,auprc,10,0.9894200998219438,0.9895815850237699,0.0014622198190801922,0.0020174614570331872,0.9882821815402709,0.9902996429973041,0.9871876426342879,0.9918517030395796,0.9885537138763674,0.9902797088973515,across_seed_bootstrap_exploratory
openml_1486_nomao,xgboost,class_conditional_cp,20,q_minority,10,0.32951194047927856,0.31619882583618164,0.18980423626350548,0.1756887584924698,0.25946642458438873,0.4351551830768585,0.049504101276397705,0.6059258282184601,0.21608245499432086,0.44147162608802315,across_seed_bootstrap_exploratory
openml_1486_nomao,xgboost,class_conditional_cp,20,q_majority,10,0.06207038760185242,0.059108853340148926,0.029299917198071384,0.034374237060546875,0.03944309055805206,0.07381732761859894,0.03339582681655884,0.13024932146072388,0.046452945470809935,0.08099580571055412,across_seed_bootstrap_exploratory
openml_1486_nomao,xgboost,class_conditional_cp,20,threshold_gap,10,0.26785258650779725,0.2586061656475067,0.18292738305979012,0.14451545476913452,0.18459776043891907,0.3291132152080536,0.0020551681518554688,0.5615139305591583,0.162086765691638,0.3765443305671214,across_seed_bootstrap_exploratory
openml_1486_nomao,xgboost,class_conditional_cp,20,threshold_sum,10,0.39158232808113097,0.37379148602485657,0.20015336129321457,0.20686206221580505,0.3343350887298584,0.5411971509456635,0.0992860198020935,0.6821178495883942,0.27672031983733175,0.5093373614549637,across_seed_bootstrap_exploratory
openml_1486_nomao,xgboost,class_conditional_cp,50,coverage_minority,10,0.8865921787709498,0.9017267648552565,0.05367131085789227,0.0383443372270188,0.8758252920264094,0.9141696292534282,0.7877094972067039,0.9608938547486033,0.8531234128999492,0.9162519045200608,across_seed_bootstrap_exploratory
openml_1486_nomao,xgboost,class_conditional_cp,50,coverage_majority,10,0.9108448415922015,0.9110479285134037,0.020829806647391324,0.02584281072298944,0.8962225832656378,0.9220653939886272,0.8785540211210398,0.9510560519902518,0.8988215881397237,0.9232940698619008,across_seed_bootstrap_exploratory
