endpoint_tag,family,dataset_id,model,aggregation,d
rq1a_cc_m100_minus_m50_threshold_gap,A_secondary_descriptive,openml_4534_phishingwebsite,xgboost,pooled_30_contrasts,-0.05161623358726501
rq1a_cc_m100_minus_m50_threshold_gap,A_secondary_descriptive,openml_4534_phishingwebsite,tabpfn,pooled_30_contrasts,-0.05460062623023987
rq1a_cc_m100_minus_m50_threshold_gap,A_secondary_descriptive,openml_4534_phishingwebsite,(pooled_3_pipelines),pooled_30_contrasts,-0.028051467962948645
rq1a_cc_m100_minus_m50_threshold_gap,A_secondary_descriptive,openml_23512_higgs,logistic_regression,pooled_30_contrasts,0.007039551900344066
rq1a_cc_m100_minus_m50_threshold_gap,A_secondary_descriptive,openml_23512_higgs,xgboost,pooled_30_contrasts,-0.0004246622323989868
rq1a_cc_m100_minus_m50_threshold_gap,A_secondary_descriptive,openml_23512_higgs,tabpfn,pooled_30_contrasts,-0.014795714616775512
rq1a_cc_m100_minus_m50_threshold_gap,A_secondary_descriptive,openml_23512_higgs,(pooled_3_pipelines),pooled_30_contrasts,-0.002726941649610145
rq1a_cc_m100_minus_m50_threshold_gap,A_secondary_descriptive,openml_23517_numerai28_6,logistic_regression,pooled_30_contrasts,-0.0008184900976729969
rq1a_cc_m100_minus_m50_threshold_gap,A_secondary_descriptive,openml_23517_numerai28_6,xgboost,pooled_30_contrasts,0.00023247599601745607
rq1a_cc_m100_minus_m50_threshold_gap,A_secondary_descriptive,openml_23517_numerai28_6,tabpfn,pooled_30_contrasts,-0.0014601558446884154
